Observable,Id_Observable,Nueva_Habilidad,Perfil,Rol
"Gestiona adecuadamente situaciones de alta presión, como retrasos o imprevistos, manteniendo una actitud positiva y proactiva.",OBS_00001,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Identifica patrones de mejora o áreas de mejora mediante análisis de datos o reportes.,OBS_00002,HABILIDADES DIGITALES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"A partir del conocimiento del sector y/o el cliente, se hace un DOFA de soluciones estratégicas.",OBS_00003,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"A través de su asesoría, mínimo una propuesta, busca brindarle al comercial de manera ágil una identificación efectiva de la solicitud, para guiarlo hacia una venta que cumpla con las políticas de calidad establecidas.",OBS_00004,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
Accede al panel de control de ventas donde registre la información nueva y planifica las siguientes acciones.,OBS_00005,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Accede rápidamente a las plataformas digitales (CRM, SalesForce, App de venta, etc) para personalizar el documento con los datos del cliente.",OBS_00006,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Accede rápidamente a las plataformas digitales (CRM, SalesForce. App de venta etc.) para personalizar el documento con los datos del cliente.",OBS_00006,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
Adapta su discurso resaltando mínimo 1 beneficio mencionando en el  la ventaja y la característica de la oferta  relacionados con las necesidades del cliente.,OBS_00007,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Adapta su discurso resaltando mínimo 1 beneficio mencionando la ventaja y la característica de la oferta  relacionados con las necesidades del cliente.,OBS_00007,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Adapta su discurso resaltando mínimo 1 beneficio para el cliente y mínimo 2 características del producto directamente relacionados con las necesidades del cliente.,OBS_00007,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Agendar espacios,  que involucren a la totalidad de interlocutores requeridos en Claro para la sustentación de la propuesta presentada.",OBS_00008,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Ajusta estrategias comerciales en tiempo real basándose en las condiciones observadas en la operación.,OBS_00009,EXCELENCIA,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Ajusta mensualmente las estrategias comerciales y acciones del equipo ante cambios en el mercado o actualizaciones de productos.,OBS_00010,ADAPTABILIDAD,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Al finalizar el contacto, realiza cierre de ordenes en plataforma, emite información de trazabilidad del contacto y cualquier procedimiento es transferido a áreas encargadas.
",,,,
""",""OBS_00011""",GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR,
"Al finalizar el contacto, realiza cierre del 100% de ordenes en plataforma, información de trazabilidad del contacto y cualquier procedimiento que deba ser transferido a áreas encargadas.",OBS_00011,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Al finalizar el contacto, realiza cierre del 100% de ordenes en plataforma, información de trazabilidad del contacto y cualquier procedimiento que deba ser transferido a áreas encargadas.
",,,,
""",""OBS_00011""",GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR,
"Analiza las interacciones y retroalimentación de los clientes para proponer y aplicar ideas creativas que optimicen los procesos, productos o servicios. Ajusta estas iniciativas a las necesidades específicas del cliente, asegurando un impacto positivo y tangible en su satisfacción.",OBS_00012,SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"Ante negativas en las  citas que desea concretar, busca otras alternativas que le permitan identificar y contactar las personas clave, sin darse fácilmente por vencido.",OBS_00013,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Ante un cliente difícil, mantiene la calma de la siguiente forma: hablando en un tono de voz tranquilo, bajo y pausado, respira profundo manteniendo una postura relajada demostrando interés al escuchar el cliente, no interrumpiéndolo.",OBS_00014,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Ante una alta cantidad de tareas pendientes, el consultor realiza una pausa para analizar la situación, identifica las actividades más críticas y planifica un orden de ejecución, evitando que la frustración afecte su desempeño o actitud.
",,,,
""",""OBS_00015""",GESTIÓN DE EMOCIONES,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"Antes de argumentar la solución o el producto, el consultor se anticipa y conoce las necesidades del negocio.  Utiliza este conocimiento previo de necesidades del negocio para argumentar el por que la solución  o producto ofrecida.",OBS_00016,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Antes de cada visita, el consultor analiza información de la empresa (como tamaño, industria, necesidades específicas) e información en sistemas (puntos de contacto previos, tickets escaldos). En base a esto, elabora una agenda de la visita que optimiza la interacción.
",,,,
""",""OBS_00017""",PENSAMIENTO ESTRATÉGICO,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
Apoya al aliado en los posibles conflictos que se puedan presentar por falta de comunicación o entregables para no afectar la operación ni el desarrollo de sus actividades.,OBS_00018,COLABORACIÓN,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Asegura cumplir con promesas comerciales ofrecidas al cliente, 'El valor de la palabra', para mantener la relación con el mismo.",OBS_00019,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Atiende el 100% de las solicitudes de acompañamiento mediante canales de soporte ante las fallas o caídas en aplicativos.,OBS_00020,COLABORACIÓN,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Busca garantizar mensualmente que el cumplimiento de los indicadores sea alcanzado mediante  una gestión de tiempo optimizada y eficiente.,OBS_00021,EXCELENCIA,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Colabora activamente con el cliente y el equipo interno de Claro, proponiendo soluciones personalizadas y asegurándose de que los ajuste realizados a la solución cumplan con los objetivos del cliente.",OBS_00022,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Compara resultados históricos mensualmente con datos actuales para proponer mejoras en la operación.,OBS_00023,ANÁLITICA Y TOMA DE DECISIONES,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Comunica mensualmente de manera clara y efectiva las actualizaciones, políticas, circulares y campañas vigentes (Cliente interno y cliente externo).",OBS_00024,APORTE DE VALOR,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
