No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
1,"Pregunta de opción múltiple con única respuesta: Una entidad financiera recibe miles de PQRs al mes, pero su sistema actual no permite hacer seguimiento efectivo ni medir la satisfacción del cliente. ¿Cuál sería la solución más adecuada para mejorar este proceso?",1.0,Implementar un buzón de sugerencias físico en cada sucursal.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
1,"Pregunta de opción múltiple con única respuesta: Una entidad financiera recibe miles de PQRs al mes, pero su sistema actual no permite hacer seguimiento efectivo ni medir la satisfacción del cliente. ¿Cuál sería la solución más adecuada para mejorar este proceso?",2.0,Usar encuestas de satisfacción y herramientas de speech analytics para evaluar cada interacción. ,VERDADERO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
1,"Pregunta de opción múltiple con única respuesta: Una entidad financiera recibe miles de PQRs al mes, pero su sistema actual no permite hacer seguimiento efectivo ni medir la satisfacción del cliente. ¿Cuál sería la solución más adecuada para mejorar este proceso?",3.0,Contratar más agentes para responder más rápido sin cambiar el sistema.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
2,Pregunta de opción múltiple con única respuesta: Un retail tiene altos niveles de abandono en su canal de WhatsApp por respuestas lentas y poco personalizadas. ¿Qué solución se alinea mejor con los principios de CX?,1.0,Cambiar el canal de atención a solo correo electrónico.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
2,Pregunta de opción múltiple con única respuesta: Un retail tiene altos niveles de abandono en su canal de WhatsApp por respuestas lentas y poco personalizadas. ¿Qué solución se alinea mejor con los principios de CX?,2.0,Enviar mensajes masivos con promociones para retener al cliente.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
2,Pregunta de opción múltiple con única respuesta: Un retail tiene altos niveles de abandono en su canal de WhatsApp por respuestas lentas y poco personalizadas. ¿Qué solución se alinea mejor con los principios de CX?,3.0,Implementar un chatbot con IA generativa que entienda preguntas abiertas y personalice respuestas,VERDADERO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
3,"Pregunta de opción múltiple con única respuesta:Una empresa enfrenta un desafío en su operación de atención al cliente: la alta rotación de agentes. Cada vez que un nuevo agente se incorpora, el proceso de capacitación es largo y costoso, lo que retrasa su productividad y afecta la calidad del servicio. Además, los agentes experimentados deben dedicar tiempo a apoyar a los nuevos, lo que reduce la eficiencia general del equipo. ¿Qué solución tecnológica podría reducir ese impacto?",1.0,Implementar asistentes virtuales que guíen al agente en tiempo real. ,VERDADERO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
3,"Pregunta de opción múltiple con única respuesta:Una empresa enfrenta un desafío en su operación de atención al cliente: la alta rotación de agentes. Cada vez que un nuevo agente se incorpora, el proceso de capacitación es largo y costoso, lo que retrasa su productividad y afecta la calidad del servicio. Además, los agentes experimentados deben dedicar tiempo a apoyar a los nuevos, lo que reduce la eficiencia general del equipo. ¿Qué solución tecnológica podría reducir ese impacto?",2.0,Crear manuales impresos para cada proceso.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
3,"Pregunta de opción múltiple con única respuesta:Una empresa enfrenta un desafío en su operación de atención al cliente: la alta rotación de agentes. Cada vez que un nuevo agente se incorpora, el proceso de capacitación es largo y costoso, lo que retrasa su productividad y afecta la calidad del servicio. Además, los agentes experimentados deben dedicar tiempo a apoyar a los nuevos, lo que reduce la eficiencia general del equipo. ¿Qué solución tecnológica podría reducir ese impacto?",3.0,Reemplazar agentes por personal administrativo.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
4,"Pregunta de opción múltiple con única respuesta: Un call center que atiende a clientes de una empresa de servicios públicos está enfrentando dificultades para resolver PQRs. dentro de los tiempos establecidos por la regulación. Esto ha generado una creciente insatisfacción entre los usuarios, que se traduce en quejas en redes sociales, pérdida de confianza y sanciones por incumplimiento. El problema radica en la sobrecarga de los agentes y la ausencia de herramientas que les permitan gestionar los casos de forma eficiente. ¿Qué solución es más efectiva?",1.0,Aumentar el número de llamadas por agente.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
4,"Pregunta de opción múltiple con única respuesta: Un call center que atiende a clientes de una empresa de servicios públicos está enfrentando dificultades para resolver PQRs. dentro de los tiempos establecidos por la regulación. Esto ha generado una creciente insatisfacción entre los usuarios, que se traduce en quejas en redes sociales, pérdida de confianza y sanciones por incumplimiento. El problema radica en la sobrecarga de los agentes y la ausencia de herramientas que les permitan gestionar los casos de forma eficiente. ¿Qué solución es más efectiva?",2.0,Automatizar la gestión de PQRs con IVR transaccional y soporte al agente. ,VERDADERO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
4,"Pregunta de opción múltiple con única respuesta: Un call center que atiende a clientes de una empresa de servicios públicos está enfrentando dificultades para resolver PQRs. dentro de los tiempos establecidos por la regulación. Esto ha generado una creciente insatisfacción entre los usuarios, que se traduce en quejas en redes sociales, pérdida de confianza y sanciones por incumplimiento. El problema radica en la sobrecarga de los agentes y la ausencia de herramientas que les permitan gestionar los casos de forma eficiente. ¿Qué solución es más efectiva?",3.0,Eliminar el canal telefónico y migrar todo a redes sociales.,FALSO,Corporativo,CoE Claro CX + Webex Contact Center (CX y Omnicanalidad),Servicios administrados,,Corporativo,Corporativo
